"Geneid","ORE_male_1","CHD_male_1","ORE_male_2","CHD_male_2 "
"FBgn0036975","360","174","278","41"
"FBgn0024887","22","17","15","3"
"FBgn0036977","0","1","2","0"
"FBgn0001259","18","7","14","5"
"FBgn0036979","5","6","4","1"
"FBgn0036980","559","275","444","54"
"FBgn0036985","21","22","21","3"
"FBgn0036991","101","38","82","10"
"FBgn0036993","135","83","110","16"
"FBgn0036996","16","21","14","0"
"FBgn0036997","293","122","227","12"
"FBgn0036998","17","14","21","4"
"FBgn0036999","47","28","40","3"
"FBgn0037001","776","410","650","113"
"FBgn0052425","416","287","381","62"
"FBgn0037003","27","18","17","7"
"FBgn0037004","13","5","9","0"
"FBgn0037005","31","24","11","2"
"FBgn0037009","25","18","26","5"
"FBgn0037011","43","21","35","7"
"FBgn0037013","7","1","7","0"
"FBgn0001323","68","44","49","5"
"FBgn0037012","46","17","31","12"
"FBgn0037008","43","20","19","6"
"FBgn0037007","557","305","499","98"
"FBgn0037000","32","25","29","6"
"FBgn0052428","110","65","91","12"
"FBgn0036995","280","141","191","35"
"FBgn0036994","57","28","41","10"
"FBgn0036992","514","339","396","60"
"FBgn0036990","32","22","40","5"
"FBgn0029158","86","65","71","15"
"FBgn0036988","61","38","66","10"
"FBgn0036987","42","20","35","13"
"FBgn0036986","148","95","111","21"
"FBgn0036984","280","166","228","38"
"FBgn0028978","392","90","281","26"
"FBgn0027565","82","30","78","8"
"FBgn0001247","509","365","409","97"
"FBgn0036978","0","2","0","0"
"FBgn0036973","28","22","22","3"
"FBgn0037014","8","7","9","1"
"FBgn0037016","83","41","53","4"
"FBgn0040634","6","1","5","2"
"FBgn0016696","1397","744","1088","148"
"FBgn0037020","91","45","74","7"
"FBgn0037024","109","52","99","10"
"FBgn0037025","21","9","12","2"
"FBgn0037027","354","181","273","35"
"FBgn0037030","1","0","1","0"
"FBgn0040636","34","11","34","7"
"FBgn0037031","55","50","73","16"
"FBgn0040637","0","0","1","0"
"FBgn0037035","16","6","10","1"
"FBgn0011591","224","125","186","30"
"FBgn0052432","2272","1037","1763","245"
"FBgn0027055","103","55","81","8"
"FBgn0037026","153","58","116","18"
"FBgn0037023","2","0","1","0"
"FBgn0027364","5","1","6","1"
"FBgn0037022","0","0","0","0"
"FBgn0037021","602","303","426","65"
"FBgn0037019","55","32","44","5"
"FBgn0037018","25","18","25","2"
"FBgn0037017","30","18","15","2"
"FBgn0045474","14","8","6","1"
"FBgn0037015","163","105","154","30"
"FBgn0001320","67","41","43","4"
"FBgn0037037","0","1","1","0"
"FBgn0053283","0","0","0","0"
"FBgn0037042","1","6","1","0"
"FBgn0037044","68","42","51","9"
"FBgn0028402","49","23","39","4"
"FBgn0026179","2035","876","1555","174"
"FBgn0053284","13","4","6","2"
"FBgn0037050","93","48","83","18"
"FBgn0037057","193","114","167","28"
"FBgn0037060","371","302","269","59"
"FBgn0028427","173","75","126","18"
"FBgn0004865","297","139","220","36"
"FBgn0037061","15","12","16","3"
"FBgn0037059","4","2","1","0"
"FBgn0053056","174","95","135","19"
"FBgn0053054","14","7","8","2"
"FBgn0041100","13","11","13","3"
"FBgn0024150","182","92","165","23"
"FBgn0037051","211","122","196","24"
"FBgn0020294","253","126","207","28"
"FBgn0053285","5","1","4","3"
"FBgn0037045","30","15","29","9"
"FBgn0003415","2358","1391","1932","304"
"FBgn0053286","0","1","0","0"
"FBgn0053287","0","1","0","0"
"FBgn0037040","1","0","0","0"
"FBgn0037039","0","1","0","0"
"FBgn0037038","1","0","0","0"
"FBgn0037036","0","0","0","0"
"FBgn0037068","5","3","3","0"
"FBgn0037069","9","5","10","0"
"FBgn0037071","40","29","38","7"
"FBgn0037073","93","64","77","6"
"FBgn0052436","4","3","0","0"
"FBgn0052437","0","0","0","0"
"FBgn0052440","0","0","1","0"
"FBgn0053288","49","24","31","3"
"FBgn0005694","367","188","275","35"
"FBgn0037087","22","11","25","1"
"FBgn0037090","182","104","148","18"
"FBgn0037092","116","70","89","15"
"FBgn0037093","389","278","280","40"
"FBgn0037094","500","262","363","54"
"FBgn0053289","1","0","1","0"
"FBgn0015283","159","78","130","21"
"FBgn0028663","143","67","87","21"
"FBgn0053290","0","0","1","0"
"FBgn0037101","0","0","1","0"
"FBgn0052438","70","37","70","12"
"FBgn0052441","134","83","118","12"
"FBgn0037102","32","18","30","5"
"FBgn0037099","2","0","5","0"
"FBgn0037098","1527","1007","1280","196"
"FBgn0029152","248","167","207","39"
"FBgn0026371","36","18","36","4"
"FBgn0015239","151","92","111","26"
"FBgn0037086","9","0","1","0"
"FBgn0037085","9","2","4","0"
"FBgn0014143","29","10","19","2"
"FBgn0037082","36","33","34","7"
"FBgn0037081","158","118","110","35"
"FBgn0002842","11","7","17","0"
"FBgn0037078","0","0","0","1"
"FBgn0037076","9","12","21","4"
"FBgn0037074","785","462","706","111"
"FBgn0003042","165","117","127","18"
"FBgn0037070","3","1","1","1"
"FBgn0037067","2","3","2","0"
"FBgn0037065","2","2","0","0"
"FBgn0027945","148","95","125","23"
"FBgn0037064","33","36","27","4"
"FBgn0037063","205","117","178","33"
"FBgn0037106","30","16","24","4"
"FBgn0037108","199","92","177","28"
"FBgn0037110","32","19","26","2"
"FBgn0043783","76","106","51","10"
"FBgn0052445","0","4","0","0"
"FBgn0052446","92","74","91","15"
"FBgn0037115","0","1","0","0"
"FBgn0037117","143","106","110","28"
"FBgn0037121","26","13","21","1"
"FBgn0037125","3","0","2","0"
"FBgn0037128","1","0","0","1"
"FBgn0037131","27","17","19","4"
"FBgn0037133","0","0","2","1"
"FBgn0000560","1","3","2","0"
"FBgn0022936","24","8","14","0"
"FBgn0037134","39","25","47","9"
"FBgn0037135","1395","668","988","158"
"FBgn0037139","1","0","0","0"
"FBgn0037138","1244","854","977","224"
"FBgn0046301","85","52","77","10"
"FBgn0052448","10","7","9","0"
