Geneid,ORE_male_1,CHD_male_1,ORE_male_2,CHD_male_2 ,ORE_fem_1 ,CHD_fem_1 ,ORE_fem_2 ,CHD_fem_2 
FBgn0013323,3,4,9,0,3,2,4,0
FBgn0031267,29,18,32,2,23,4,19,12
FBgn0021874,44,19,31,6,48,9,20,3
FBgn0031264,46,47,31,13,23,27,17,19
FBgn0005660,292,20,235,3,129,36,72,26
FBgn0031260,212,132,154,23,109,85,95,46
FBgn0010602,148,85,100,27,103,55,85,28
FBgn0043364,789,365,633,131,502,217,204,122
FBgn0031258,544,323,433,76,405,181,247,97
FBgn0015924,406,257,353,74,259,106,177,84
FBgn0031253,7,5,9,2,11,1,7,1
FBgn0031252,1,1,1,0,2,0,0,0
FBgn0031251,43,17,29,6,42,7,22,5
FBgn0031250,14,12,13,5,9,4,9,4
FBgn0051921,32,17,29,2,18,7,5,6
FBgn0031249,29,20,14,2,13,2,12,1
FBgn0031248,31,20,19,3,18,7,8,3
FBgn0067779,214,184,170,24,152,68,108,41
FBgn0031213,249,164,221,27,188,47,92,35
FBgn0031214,65,56,62,14,59,18,41,12
FBgn0031216,669,418,631,71,398,191,262,76
FBgn0031217,53,32,53,8,31,18,25,12
FBgn0001142,855,308,611,100,783,129,436,96
FBgn0031224,53,13,28,1,21,17,18,4
FBgn0031228,138,78,129,20,102,25,89,18
FBgn0031229,75,36,47,11,50,20,37,16
FBgn0031231,34,23,31,2,19,8,19,7
FBgn0031233,146,81,124,18,95,34,81,21
FBgn0031235,41,30,39,5,19,7,15,8
FBgn0031240,41,29,42,4,19,13,18,5
FBgn0003444,90,53,72,0,48,21,21,6
FBgn0031247,18,5,12,3,13,5,4,2
FBgn0024352,594,197,515,41,461,106,541,60
FBgn0020622,252,153,204,32,147,57,93,34
FBgn0017457,94,41,81,15,65,26,64,9
FBgn0025686,15,9,14,4,15,4,4,2
FBgn0031245,236,166,227,50,179,73,129,55
FBgn0031244,52,20,34,9,21,14,19,9
