,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0029931,1.07636290818314,0.984541881695846,3.97989340329601,0
FBgn0004143,1.07636290818314,3.93816752678338,0.994973350824003,1.87931605522668
FBgn0029932,106.559927910131,239.243677252091,115.416908695584,205.785108047322
FBgn0029937,249.716194698489,380.033166334597,274.612644827425,386.199449349084
FBgn0047092,0,1.96908376339169,0,0
FBgn0027342,492.974211947879,646.844016274171,436.793301011737,591.984557396405
FBgn0029936,170.065339492937,282.563520046708,179.095203148321,304.449200946723
FBgn0029935,337.977953169507,432.213886064476,335.306019227689,449.156537199177
FBgn0029930,752.377672820017,925.469368794095,698.47129227845,968.787426469356
FBgn0029928,227.112573626643,285.517145691795,222.874030584577,254.647325483216
FBgn0000330,305.687065924012,440.090221118043,310.431685457089,383.380475266243
FBgn0027106,3.22908872454943,4.92270940847923,3.97989340329601,3.75863211045337
FBgn0004646,134.545363522893,264.841766176183,174.120336394201,309.147491084789
FBgn0029925,141.003540971992,257.949973004312,161.185682833488,294.112962642976
FBgn0052732,34.4436130618606,46.2734684397048,26.8642804722481,46.9829013806671
FBgn0029915,262.632549596687,435.167511709564,263.667937968361,486.742858303711
FBgn0029913,229.265299443009,336.713323539979,237.798630846937,310.087149112403
FBgn0029911,339.05431607769,481.440980149269,346.250726086753,491.441148441778
FBgn0029939,333.672501536774,534.606241760844,318.391472263681,488.622174358938
FBgn0029940,0,4.92270940847923,0,4.69829013806671
FBgn0029942,452.07242143692,571.034291383591,506.441435569417,622.993272307646
FBgn0029944,950.428447925715,1109.57870067122,917.365429459731,1208.40022351076
FBgn0029945,157.148984594739,222.506465263261,147.256055921952,188.871263550282
FBgn0026144,36.5963388782268,41.3507590312255,34.8240672788401,51.6811915187338
FBgn0029947,0,29.5362564508754,0,8.45692224852008
FBgn0029950,8.61090326546514,8.86087693526261,1.98994670164801,8.45692224852008
FBgn0040923,0,1.96908376339169,0,0
FBgn0052726,1.07636290818314,0.984541881695846,1.98994670164801,0
FBgn0029949,1.07636290818314,1.96908376339169,2.98492005247201,0.939658027613342
FBgn0029946,2.15272581636629,6.89179317187092,0,3.75863211045337
FBgn0029943,235.723476892108,310.130692734191,233.818737443641,314.78543925047
FBgn0025549,530.646913734289,724.622824928143,687.526585419386,887.037178066995
FBgn0029951,10.7636290818314,9.84541881695846,5.96984010494402,3.75863211045337
FBgn0004198,3389.46679786872,2973.31648272146,3257.54275059779,2831.189637199
FBgn0022786,334.748864444957,314.068860260975,325.356285719449,300.690568836269
FBgn0029957,332.596138628591,319.97611155115,339.285912630985,320.42338741615
FBgn0029959,236.799839800291,276.656268756533,257.698097863417,273.440486035482
FBgn0016041,495.126937764245,409.569422785472,446.743034519977,398.415003708057
FBgn0029961,9.68726617364828,5.90725129017508,6.96481345576802,5.63794816568005
FBgn0029958,247.563468882123,228.413716553436,251.728257758473,236.793822958562
FBgn0027553,382.108832405016,390.863127033251,397.989340329601,376.80286907295
FBgn0029955,10.7636290818314,10.8299606986543,4.97486675412001,9.39658027613342
FBgn0029952,1.07636290818314,0.984541881695846,2.98492005247201,3.75863211045337
FBgn0052720,7.534540357282,7.87633505356677,4.97486675412001,3.75863211045337
FBgn0052719,10.7636290818314,10.8299606986543,5.96984010494402,6.57760619329339
FBgn0052718,57.0472341337065,27.5671726874837,22.8843870689521,30.0690568836269
FBgn0029962,18.2981694391134,9.84541881695846,16.914546964008,13.1552123865868
FBgn0029964,1.07636290818314,2.95362564508754,0.994973350824003,1.87931605522668
FBgn0029966,9.68726617364828,5.90725129017508,5.96984010494402,8.45692224852008
FBgn0029968,103.330839185582,86.6396855892344,128.351562256296,86.4485385404274
FBgn0040087,826.646713484653,729.545534336622,929.305109669619,774.278214753394
FBgn0010292,237.876202708474,207.738337037823,248.743337706001,202.966133964482
FBgn0029975,1418.64631298538,1252.33727351712,1448.68119879975,1240.34859644961
FBgn0029976,1333.61364323891,1172.58938109975,1397.93755790772,1149.20176777112
FBgn0004403,452.07242143692,358.373244937288,423.858647451025,398.415003708057
FBgn0004404,328.290686995858,329.821530368108,328.341205771921,358.009708520683
FBgn0029987,58.1235970418897,69.9024736004051,79.5978680659202,78.9312743195207
FBgn0003447,2096.75494514076,893.964028579828,2144.16757102573,826.899064299741
FBgn0004657,2292.65299443009,2172.88393290273,2200.88105202269,2173.42901786966
FBgn0029993,11.8399919900146,5.90725129017508,5.96984010494402,4.69829013806671
FBgn0040319,1216.29008624695,1172.58938109975,1211.87754130364,1235.65030631154
FBgn0029997,481.134219957865,453.873807461785,496.491702061177,456.673801420084
